anio,establecimiento,rbd,prueba,promedio
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757,Lenguaje,378.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757,M1,436.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757,M2,290.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757,Historia,0.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757,Ciencias,0.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757,Obligatoria,407.0
2025,"Instituto Comercial De Valdivia
Rama",6751,Lenguaje,498.0
2025,"Instituto Comercial De Valdivia
Rama",6751,M1,491.5
2025,"Instituto Comercial De Valdivia
Rama",6751,M2,378.0
2025,"Instituto Comercial De Valdivia
Rama",6751,Historia,484.0
2025,"Instituto Comercial De Valdivia
Rama",6751,Ciencias,452.0
2025,"Instituto Comercial De Valdivia
Rama",6751,Obligatoria,494.8
2026,"Colegio Bicentenario Helvecia
Rama",12185,Lenguaje,600.9
2026,"Colegio Bicentenario Helvecia
Rama",12185,M1,588.6
2026,"Colegio Bicentenario Helvecia
Rama",12185,M2,422.4
2026,"Colegio Bicentenario Helvecia
Rama",12185,Historia,491.5
2026,"Colegio Bicentenario Helvecia
Rama",12185,Ciencias,438.1
2026,"Colegio Bicentenario Helvecia
Rama",12185,Obligatoria,601.4
2026,"Colegio Bicentenario Helvecia
Rama",12185,Lenguaje,485.7
2026,"Colegio Bicentenario Helvecia
Rama",12185,M1,470.8
2026,"Colegio Bicentenario Helvecia
Rama",12185,M2,0.0
2026,"Colegio Bicentenario Helvecia
Rama",12185,Historia,417.0
2026,"Colegio Bicentenario Helvecia
Rama",12185,Ciencias,392.3
2026,"Colegio Bicentenario Helvecia
Rama",12185,Obligatoria,481.3
2026,"Colegio Baquedano
Rama",22014,Lenguaje,582.8
2026,"Colegio Baquedano
Rama",22014,M1,593.3
2026,"Colegio Baquedano
Rama",22014,M2,375.9
2026,"Colegio Baquedano
Rama",22014,Historia,507.3
2026,"Colegio Baquedano
Rama",22014,Ciencias,441.9
2026,"Colegio Baquedano
Rama",22014,Obligatoria,590.3
2026,"Martin Luther King College
Rama",22160,Lenguaje,575.0
2026,"Martin Luther King College
Rama",22160,M1,630.2
2026,"Martin Luther King College
Rama",22160,M2,425.4
2026,"Martin Luther King College
Rama",22160,Historia,456.3
2026,"Martin Luther King College
Rama",22160,Ciencias,455.7
2026,"Martin Luther King College
Rama",22160,Obligatoria,604.1
2026,"Colegio San Luis De Alba
Rama",22177,Lenguaje,733.8
2026,"Colegio San Luis De Alba
Rama",22177,M1,856.7
2026,"Colegio San Luis De Alba
Rama",22177,M2,521.3
2026,"Colegio San Luis De Alba
Rama",22177,Historia,620.1
2026,"Colegio San Luis De Alba
Rama",22177,Ciencias,596.1
2026,"Colegio San Luis De Alba
Rama",22177,Obligatoria,795.2
2026,"Centro Educacion Adultos Andres Bello
Rama",22188,Lenguaje,503.1
2026,"Centro Educacion Adultos Andres Bello
Rama",22188,M1,485.6
2026,"Centro Educacion Adultos Andres Bello
Rama",22188,M2,409.0
2026,"Centro Educacion Adultos Andres Bello
Rama",22188,Historia,432.8
